source_group_id,cell,question,r_o,r_s,c_o,c_s,shared_q,shared_r_o,shared_r_s,norm_ro_ne_rs,render_ro_ne_rs
02f57f24289610a1eab8bb8b35920f4c5cf5c11b8010e623ea26247e8b119424,OO-OS-SO-SS,What is the capital of Kansas?,Topeka,Pangkham,The answer is Topeka.,The answer is Pangkham.,True,True,True,True,True
03224873e5a209e075ae6114c3ca5a3a3abfb90157c30e7e5f5597a7ddea7183,OO-OS-SO-SS,Who was the director of Impulse?,Cy Endfield,Peter Del Monte,The answer is Cy Endfield.,The answer is Peter Del Monte.,True,True,True,True,True
0336568ee734d7d516b2b544295614ef98376387c26a89b22d8e99cc7c1c2cd8,OO-OS-SO-SS,Who was the composer of Smile?,Brian Wilson,Sergei Rachmaninoff,The answer is Brian Wilson.,The answer is Sergei Rachmaninoff.,True,True,True,True,True
033e8167e3c8445b2392f841c4784566e23583cb38b30167d07118892915106e,OO-OS-SO-SS,In what country is University of Burgundy?,France,Ethiopia,The answer is France.,The answer is Ethiopia.,True,True,True,True,True
03583daaf3ecf74289efc0414bffb81d6a40aea6c090f710eb182abf34b70e76,OO-OS-SO-SS,Who was the screenwriter for Michael?,Nora Ephron,Michael Rymer,The answer is Nora Ephron.,The answer is Michael Rymer.,True,True,True,True,True
035a9d3409146391c8f53ea2b9e336b2b7bb1031fc2cecae9c2fc5fe03212110,OO-OS-SO-SS,Who was the composer of Harbor Lights?,Wilhelm Grosz,Nikolai Rimsky-Korsakov,The answer is Wilhelm Grosz.,The answer is Nikolai Rimsky-Korsakov.,True,True,True,True,True
038a41e5f6038baa7577c853b6c65692d8dde65bb1b0166e46b8c9d8530bdc4d,OO-OS-SO-SS,In what city was Geert Brusselers born?,Eindhoven,Quebec City,The answer is Eindhoven.,The answer is Quebec City.,True,True,True,True,True
03b415a08eaf173622ab5ee503a7f73c9888e9a197ebd6495a037664686ef3c9,OO-OS-SO-SS,What sport does Chaker Zouagi play?,association football,ice hockey,The answer is association football.,The answer is ice hockey.,True,True,True,True,True
03b6392ad449bb74ffee165ca248426d11fd5a47cc1fe9806603c8aa888529ca,OO-OS-SO-SS,Who was the producer of In the Room?,Zhao Wei,Aluri Chakrapani,The answer is Zhao Wei.,The answer is Aluri Chakrapani.,True,True,True,True,True
03d4b7fdfb6cb4c29897d6b02417c65f2b88614bd89fd9c8784765f403a21ff4,OO-OS-SO-SS,Who was the producer of Saptapadi?,Uttam Kumar,Steven Seagal,The answer is Uttam Kumar.,The answer is Steven Seagal.,True,True,True,True,True
03e18fc8a8c875adceccd6db314350f4565f86d9959f1799b75103d5889a50ec,OO-OS-SO-SS,What genre is Cabinet?,archive file format,reality television,The answer is archive file format.,The answer is reality television.,True,True,True,True,True
03ea2d933ff502fc1115afd4f5eee2dc55c9d456a5c74b67471fdfdbaa4e54e9,OO-OS-SO-SS,Who was the producer of Bloodstone?,Sunanda Murali Manohar,Allan Dwan,The answer is Sunanda Murali Manohar.,The answer is Allan Dwan.,True,True,True,True,True
03f15826c3d6500732aa4445f77201d9d38e0be658139b560a6171a87de644c2,OO-OS-SO-SS,In what country is Millennium Biltmore Hotel?,United States of America,Brazil,The answer is United States of America.,The answer is Brazil.,True,True,True,True,True
042abb942d7dab82fb23fe2ffd986a7b0261c30113bceebca570f688346b2c8f,OO-OS-SO-SS,Who was the screenwriter for PDA?,Robert Padnick,Francis Huster,The answer is Robert Padnick.,The answer is Francis Huster.,True,True,True,True,True
04434e7fd2f5eb508db5a0a15a17647a556e42bcebcec34c7110384a05f67fb9,OO-OS-SO-SS,What is Rodrigo Arocena's occupation?,mathematician,librarian,The answer is mathematician.,The answer is librarian.,True,True,True,True,True
044f859f3e28383a8d3b117cd3ebb5ee432f4f1f69060966a1d974a403d46205,OO-OS-SO-SS,Who was the director of The Best of Me?,Michael Hoffman,Mike Nichols,The answer is Michael Hoffman.,The answer is Mike Nichols.,True,True,True,True,True
04720332058fee6d95556e8be55c186ca9805123317670e3042787ad12a669fa,OO-OS-SO-SS,Who was the producer of The Fog?,John Carpenter,Thurston Moore,The answer is John Carpenter.,The answer is Thurston Moore.,True,True,True,True,True
0473c3b614a0d388f2663a9c6fca1bb57c4449efceaab0755e87d682b2ea7c7e,OO-OS-SO-SS,Who was the screenwriter for Dracula?,Bram Stoker,Jonathan Nossiter,The answer is Bram Stoker.,The answer is Jonathan Nossiter.,True,True,True,True,True
047c51e88dfc5066b13d132edd0813e3a671c883083a50b097f2841386d52d60,OO-OS-SO-SS,What sport does Gregor Balažic play?,association football,basketball,The answer is association football.,The answer is basketball.,True,True,True,True,True
0482bdb83915c67d2502f226527f2dc9533599cfadd7f128bfad733f192c564d,OO-OS-SO-SS,What is the religion of Xavier University of Louisiana?,Catholic Church,agnosticism,The answer is Catholic Church.,The answer is agnosticism.,True,True,True,True,True
04b091f9d0fc7aaddeb993f2fe5163365ada62425eebcbc4b883b784ca2bec79,OO-OS-SO-SS,Who is the author of The Ball and the Cross?,G. K. Chesterton,Tamora Pierce,The answer is G. K. Chesterton.,The answer is Tamora Pierce.,True,True,True,True,True
04c22fc5c3d651f253b23d251ceb612707b2c287be67f4ee7d864639a412a08d,OO-OS-SO-SS,Who was the producer of Wanted?,Mark Millar,Lewis Milestone,The answer is Mark Millar.,The answer is Lewis Milestone.,True,True,True,True,True
04e02e000dded5b979ad265c7f9c86a75080f2752587e042c10ac82197d7241f,OO-OS-SO-SS,Who was the composer of Die Fledermaus?,Johann Strauss II,Willie Reale,The answer is Johann Strauss II.,The answer is Willie Reale.,True,True,True,True,True
052124b62669657c92e546adc528c6d1fcdec283d7496de69906119f5d3255f4,OO-OS-SO-SS,What is Hiroyuki Arai's occupation?,politician,actor,The answer is politician.,The answer is actor.,True,True,True,True,True
052dd44b8d819a57dc1200d4eb837d9d870ff3d79942661344ad74bbdfdc1ce2,OO-OS-SO-SS,Who was the composer of The Dawning?,Simon May,Michael Nyman,The answer is Simon May.,The answer is Michael Nyman.,True,True,True,True,True
053cbcacef3435127310e6194e7f915b6a9d387184ebe9cef03225ea47cd1e7e,OO-OS-SO-SS,Who was the director of The Claim?,Michael Winterbottom,Lewis Gilbert,The answer is Michael Winterbottom.,The answer is Lewis Gilbert.,True,True,True,True,True
05596e5a1f11165c2e72d2fb5189e2e1a8a0b1495197a6ed4afa4ab66547436d,OO-OS-SO-SS,Who was the producer of Bark?,Jefferson Airplane,Art Linson,The answer is Jefferson Airplane.,The answer is Art Linson.,True,True,True,True,True
0579763288942ecaa636605400174298673a99cb2d35fdb8e683268c30705152,OO-OS-SO-SS,Who was the director of Fun?,Rafal Zielinski,Amy Redford,The answer is Rafal Zielinski.,The answer is Amy Redford.,True,True,True,True,True
05a4100b79a6de8a76a1411ab9aa95fb7e8489fbde4b4417c11188dd16bc5631,OO-OS-SO-SS,Who was the screenwriter for I Was Monty's Double?,Bryan Forbes,Rik Mayall,The answer is Bryan Forbes.,The answer is Rik Mayall.,True,True,True,True,True
05a4c4cfc576c9a0acd3a3b0926136df95f44f3d08616f8b7787d6d7c2b59a58,OO-OS-SO-SS,Who was the screenwriter for The Collection?,Matt Hubbard,Dale Wasserman,The answer is Matt Hubbard.,The answer is Dale Wasserman.,True,True,True,True,True
05c16249a9ae2b39a903231272c06fb4ac64112ce85db296a5b639f3f23b18fa,OO-OS-SO-SS,Who was the screenwriter for The Search?,Brent Forrester,Matt Reeves,The answer is Brent Forrester.,The answer is Matt Reeves.,True,True,True,True,True
05cab77a5baac367265590d5e6fd1db2fa45a10631eb1ed4246f907698e00313,OO-OS-SO-SS,Who was the producer of The Best Man?,Spike Lee,Anubhav Sinha,The answer is Spike Lee.,The answer is Anubhav Sinha.,True,True,True,True,True
05d2a6ea92c1918243427f5c8abb3a792082113f40533c42ec26e9f7403fe235,OO-OS-SO-SS,Who is the author of Festivals?,Ruth Manning-Sanders,Gail Carriger,The answer is Ruth Manning-Sanders.,The answer is Gail Carriger.,True,True,True,True,True
05e2038cc2ddda56e5548bfa6723ac6beec59b69c196cfd8697ed81bfb89b759,OO-OS-SO-SS,Who is the author of The Temple?,Stephen Spender,Neal Asher,The answer is Stephen Spender.,The answer is Neal Asher.,True,True,True,True,True
0609cd3de8b6a2aa28725b21e4bd9e151af27f5873aec72e010bab7732becad6,OO-OS-SO-SS,Who is the author of The Bishop's Heir?,Katherine Kurtz,Nick Tosches,The answer is Katherine Kurtz.,The answer is Nick Tosches.,True,True,True,True,True
062dffaf443c4cf1365db39620d95b802e3fcbc09eb81ddf96fea7a3e904950f,OO-OS-SO-SS,Who was the producer of City of God?,Walter Salles,will.i.am,The answer is Walter Salles.,The answer is will.i.am.,True,True,True,True,True
06445043e740953fd4f249f57f1cee4e71c40144e32cf035ce04bc1d7217e501,OO-OS-SO-SS,Who was the screenwriter for Welcome Back?,Anees Bazmee,Kirsten Sheridan,The answer is Anees Bazmee.,The answer is Kirsten Sheridan.,True,True,True,True,True
0656bb88276332bd8990c2ad7b41726ef04aec21a73e9d0bb89abd90d99249a9,OO-OS-SO-SS,Who was the screenwriter for Il Boss?,Fernando Di Leo,Matt Wayne,The answer is Fernando Di Leo.,The answer is Matt Wayne.,True,True,True,True,True
067fa901da5902284f9804b74cb4568cf85097a5ff22f484b4d93cfdef37258a,OO-OS-SO-SS,Who was the director of Mates?,Pieter Verhoeff,Mark Rydell,The answer is Pieter Verhoeff.,The answer is Mark Rydell.,True,True,True,True,True
06caa9df980eb76ad31987caa3b1d2f2e8f5ada93d4144e7f0aea9552df7314c,OO-OS-SO-SS,Who was the producer of As You Like It?,Paul Czinner,Flying Lotus,The answer is Paul Czinner.,The answer is Flying Lotus.,True,True,True,True,True
06d83c8fb9b1cad6df475ec9e118c1e2dcab608bcc2619e1bfe221e1608e351d,OO-OS-SO-SS,Who was the director of Independence Day UK?,Dirk Maggs,Wong Jing,The answer is Dirk Maggs.,The answer is Wong Jing.,True,True,True,True,True
06dea1671f36ebab9e393d5696e51def28c64cc1fa7738705a25b3ca9a079737,OO-OS-SO-SS,What sport does 1998–99 Slovenian Basketball League play?,basketball,ski mountaineering,The answer is basketball.,The answer is ski mountaineering.,True,True,True,True,True
071376ae0be8df58ed3302056036b7608e6bb77ca9879fd7eafaf7b277bb741c,OO-OS-SO-SS,What sport does Josip Duvančić play?,association football,basketball,The answer is association football.,The answer is basketball.,True,True,True,True,True
072cc97f191d8cb032efc17d7d05f320fef7f5938e070581deb53a34dfe31cc9,OO-OS-SO-SS,What genre is Liberation?,black metal,post-punk,The answer is black metal.,The answer is post-punk.,True,True,True,True,True
072dd4902f01a82e8a37e69f4267a597d537ab035bac7b27512aad40d22d5642,OO-OS-SO-SS,In what country is Abasin Arts Council?,Pakistan,Belgium,The answer is Pakistan.,The answer is Belgium.,True,True,True,True,True
0747e0ff42297f56b4c07f2cb8541bdf1639bb5bc26f4d5f4662c7d0bbe36ec4,OO-OS-SO-SS,What genre is The Box?,experimental music,thriller,The answer is experimental music.,The answer is thriller.,True,True,True,True,True
074ad5bb3261e72b1180e9458c3bd234e627fe55d72170a355acd26f8c353f2f,OO-OS-SO-SS,In what city was Matt Moralee born?,Newcastle upon Tyne,Berlin,The answer is Newcastle upon Tyne.,The answer is Berlin.,True,True,True,True,True
07766434724b83486395a982b3c9d06f6f05ceb1089eefacd1f9ec2f7c7fdbca,OO-OS-SO-SS,Who was the director of Atlantic?,Ewald André Dupont,Raghavan,The answer is Ewald André Dupont.,The answer is Raghavan.,True,True,True,True,True
077ca46fd6a0e7e94bdad5e6a949ad18e9a31d3966069760b50adee8f250dafe,OO-OS-SO-SS,What is Robert Jonckheere's occupation?,astronomer,screenwriter,The answer is astronomer.,The answer is screenwriter.,True,True,True,True,True
078713f00bb8dc731f8239f36cc1e24041953807c112c97f069c362d1c55b93d,OO-OS-SO-SS,What is Ruby Rose's occupation?,disc jockey,songwriter,The answer is disc jockey.,The answer is songwriter.,True,True,True,True,True
07a3bed480f9337d5e592937b7ec8a72aaa927e47157cd2667825aa97a89c73f,OO-OS-SO-SS,What sport does linebacker play?,American football,association football,The answer is American football.,The answer is association football.,True,True,True,True,True
07ade48ed7d595e8b1b69c1d169d8891796a7db04fb230e19132884683875f9e,OO-OS-SO-SS,Who was the composer of Broadway?,Teddy McRae,Kenji Yamamoto,The answer is Teddy McRae.,The answer is Kenji Yamamoto.,True,True,True,True,True
07c998f73c5cce2083141355d144319b040c7ecd9c2511348deff213eba47226,OO-OS-SO-SS,Who was the director of Desires?,Rolf Hansen,Van Dyke Brooke,The answer is Rolf Hansen.,The answer is Van Dyke Brooke.,True,True,True,True,True
07e7def1a911b4b69b9885892aabdb2fb712527e6c776071820ac8d2e4c89df0,OO-OS-SO-SS,In what country is Khiva District?,Uzbekistan,South Korea,The answer is Uzbekistan.,The answer is South Korea.,True,True,True,True,True
0803fd5d333c141f8ce4fe91c9c801b37802b570414f8ce595d08e588924db2c,OO-OS-SO-SS,In what city was Anders Orvin born?,Hattfjelldal,Cincinnati,The answer is Hattfjelldal.,The answer is Cincinnati.,True,True,True,True,True
0842e930921a3a20033664c63bfffeb81db4e03957365c89496602736593d513,OO-OS-SO-SS,Who is the author of Home?,Toni Morrison,Damon Knight,The answer is Toni Morrison.,The answer is Damon Knight.,True,True,True,True,True
084479f0506b722fef0564b0cbb586c23b8c2beeb9e5c3fba2777bbd6a5eb268,OO-OS-SO-SS,Who is the mother of Ériu?,Ernmas,Abigail Greene Aldrich,The answer is Ernmas.,The answer is Abigail Greene Aldrich.,True,True,True,True,True
084ed263953972eda1420bdf4fff9c9e770230b0f8c4eb0861b15b0f0c81e6de,OO-OS-SO-SS,"What is Charles A. Gillespie, Jr.'s occupation?",diplomat,politician,The answer is diplomat.,The answer is politician.,True,True,True,True,True
08bd0498b7a958ac610dd6b646d52adb66605c044d223968f4183b73d606c6ba,OO-OS-SO-SS,In what city was JB Magsaysay born?,San Juan,Darling Point,The answer is San Juan.,The answer is Darling Point.,True,True,True,True,True
08dbdb02aaff53c0f0d3652eeb28d4089b3b032755978ace19b19f28435b680d,OO-OS-SO-SS,What is the capital of Canada?,Ottawa,Apia,The answer is Ottawa.,The answer is Apia.,True,True,True,True,True
08e6147259ad2aa7f843be7e25b027319e25925468f2c16b1c066e9c180ead7d,OO-OS-SO-SS,Who was the director of Citizen Kane?,Orson Welles,Robert Allan Ackerman,The answer is Orson Welles.,The answer is Robert Allan Ackerman.,True,True,True,True,True
08f339c0c187740d2e7b1ce2cce09442a1617efeb05d298c83e78a8ee7a133ba,OO-OS-SO-SS,Who was the producer of A Christmas Story 2?,Brian Levant,Katherine Heigl,The answer is Brian Levant.,The answer is Katherine Heigl.,True,True,True,True,True
09825a5d0a6d6d0acbd6c5add362c89208033ea75cf206bf5d8b5a31c9162c9b,OO-OS-SO-SS,Who is the author of The Removalists?,David Williamson,Iris Rainer Dart,The answer is David Williamson.,The answer is Iris Rainer Dart.,True,True,True,True,True
09881f68b5886fcf251e09504042d3c85db83fb7aca2fb8ca53a03c342907cb6,OO-OS-SO-SS,What sport does Vyacheslav Vedenin play?,cross-country skiing,motorcycle speedway,The answer is cross-country skiing.,The answer is motorcycle speedway.,True,True,True,True,True
0995d6d1ecef6bec9eb00ef345b9a0c336a06fec0862bfc3fb11fc94a5a0ad6e,OO-OS-SO-SS,Who was the producer of Us Two?,Claude Lelouch,Massy Tadjedin,The answer is Claude Lelouch.,The answer is Massy Tadjedin.,True,True,True,True,True
09c44e68a2e04bed1f2487df073cb1acb9f3f9206fa932535827fd16d1dc6ab2,OO-OS-SO-SS,Who was the composer of A Man and a Woman?,Francis Lai,John Frederick Coots,The answer is Francis Lai.,The answer is John Frederick Coots.,True,True,True,True,True
09ce0534fb062c27105180d4a79f3ae8970c34b15079faca1ba6a8d6fe080904,OO-OS-SO-SS,Who was the screenwriter for Man of La Mancha?,Dale Wasserman,Trey Parker,The answer is Dale Wasserman.,The answer is Trey Parker.,True,True,True,True,True
09ced8dd94df33b88b3f861ef0b93b1d09444db5494bcd321b3a6254a9dde863,OO-OS-SO-SS,Who was the director of Rails?,Mario Camerini,Jane Anderson,The answer is Mario Camerini.,The answer is Jane Anderson.,True,True,True,True,True
09ee1ba3636e1fcd6b582072e3262c32a708e381429de29cd2c37a552df46d30,OO-OS-SO-SS,Who was the screenwriter for Pilot?,Jim Kouf,Satyajit Ray,The answer is Jim Kouf.,The answer is Satyajit Ray.,True,True,True,True,True
0a02680c92544b403cb5e415a282ecdaa5f70f73ce6d7f25de45e0b6390be5c1,OO-OS-SO-SS,Who was the screenwriter for Twisted?,Seth Michael Donsky,Jocelyn Moorhouse,The answer is Seth Michael Donsky.,The answer is Jocelyn Moorhouse.,True,True,True,True,True
0a2f734c1a47caa0d4355d94584343b35bdbeb9eb08b22cb7397e9c808b03667,OO-OS-SO-SS,What is the religion of Ivan Illich?,Catholic Church,Sunni Islam,The answer is Catholic Church.,The answer is Sunni Islam.,True,True,True,True,True
0a359402bde922812c31af0a1f5a6af8a2b739e22e7305c7f12fb29d9f436f00,OO-OS-SO-SS,Who was the producer of White Nights?,Taylor Hackford,Ian Anderson,The answer is Taylor Hackford.,The answer is Ian Anderson.,True,True,True,True,True
0a3be73313424644a2c27e04d5ac180a14ee20e7c4d2de8219f8bd3fc1195e46,OO-OS-SO-SS,What genre is Micro?,techno-thriller,comedy film,The answer is techno-thriller.,The answer is comedy film.,True,True,True,True,True
0a4516755e0b186f3caabebb749630a499a072d3b43996ef2b55cc5f8f9def7c,OO-OS-SO-SS,In what city was Alfred Frank Hardiman born?,London,Guadalajara,The answer is London.,The answer is Guadalajara.,True,True,True,True,True
0a4a28d05809f196a9bd81f541cdbfd215c71d0d44a1b01840d2bd851312825d,OO-OS-SO-SS,Who was the director of Lebanon?,Samuel Maoz,Zhang Yibai,The answer is Samuel Maoz.,The answer is Zhang Yibai.,True,True,True,True,True
0a718c6f512294600ffd6ded045e2c15446ea78a74373afc91ef91a9b33460a5,OO-OS-SO-SS,Who was the producer of Arc?,Neil Young,Jefferson Airplane,The answer is Neil Young.,The answer is Jefferson Airplane.,True,True,True,True,True
0a7e45abefc20eaee0c74e425e15678bfb7d63f6ec4b59a34731aa9f85d09684,OO-OS-SO-SS,In what city was Bruno Nöckler born?,Prettau,Florence,The answer is Prettau.,The answer is Florence.,True,True,True,True,True
0a81d15620f56559b43e2441ab12f66aee6008ccf0ff21c3421a1f08892f49b9,OO-OS-SO-SS,Who is the mother of Senhime?,Oeyo,Maria Amalia of Naples and Sicily,The answer is Oeyo.,The answer is Maria Amalia of Naples and Sicily.,True,True,True,True,True
0a85b32ba2dc130de65973812a7b4a63d4e545e63494ebd00f1c0c8a3c86b565,OO-OS-SO-SS,What is the capital of Ilocos Region?,San Fernando,Hamilton,The answer is San Fernando.,The answer is Hamilton.,True,True,True,True,True
0a971194650736a3c6690aca94ab79538afaa09cfbb79521a66d0a635d8cf961,OO-OS-SO-SS,Who was the director of Scooby-Doo?,Raja Gosnell,Thomas Carter,The answer is Raja Gosnell.,The answer is Thomas Carter.,True,True,True,True,True
0a9a7de746b16a2b12ca8bf5a6598d40a6fe1998567a2b2118f56332560bacba,OO-OS-SO-SS,Who was the director of The Band?,Avi Nesher,Rabi Kinagi,The answer is Avi Nesher.,The answer is Rabi Kinagi.,True,True,True,True,True
0a9b406358628b57a436cf56aabd001817a5c23af9b51d8ea3b24986f80e282e,OO-OS-SO-SS,What genre is Pre?,noise rock,action film,The answer is noise rock.,The answer is action film.,True,True,True,True,True
0ae44fa9841ff468840d5acba991b03eeb2e0840d11547819679fa1b9cc8d960,OO-OS-SO-SS,Who was the screenwriter for Another Year?,Mike Leigh,Sergei Eisenstein,The answer is Mike Leigh.,The answer is Sergei Eisenstein.,True,True,True,True,True
0b19e688bab82c998f6e1a74c045f3934b9c3c211f45664be1ab441b59a8d2d8,OO-OS-SO-SS,Who was the screenwriter for Ted?,Alec Sulkin,Anees Bazmee,The answer is Alec Sulkin.,The answer is Anees Bazmee.,True,True,True,True,True
0b3b2e8c73898df7c30ed54d58fe60b86bf8b2105644de530848fd908120b857,OO-OS-SO-SS,Who was the composer of Yesterday?,Paul McCartney,Randy Newman,The answer is Paul McCartney.,The answer is Randy Newman.,True,True,True,True,True
0b56266fd3e4e7b2cf71e5f540e0c2b065e33345b1285974549f06d182c077c1,OO-OS-SO-SS,Who was the producer of The Nest?,Julie Corman,John Cale,The answer is Julie Corman.,The answer is John Cale.,True,True,True,True,True
0bafe7160f5af7d9c56930cb230fd4f8f11acf972360c2d9708bd3a928ef83a7,OO-OS-SO-SS,What is David Joyce's occupation?,politician,actor,The answer is politician.,The answer is actor.,True,True,True,True,True
0bbf5b0a301c9ac736fcb2016a1876a3e0fd9682e545143425bee92b8ee2a21e,OO-OS-SO-SS,What genre is Breathe?,country music,role-playing video game,The answer is country music.,The answer is role-playing video game.,True,True,True,True,True
0bc1b08f13aec87e2b26e67af38336fbea639010ae53314bea3adb5f1d935843,OO-OS-SO-SS,Who is the mother of Bertrand Russell?,"Katharine Russell, Viscountess Amberley",Consort Liang,"The answer is Katharine Russell, Viscountess Amberley.",The answer is Consort Liang.,True,True,True,True,True
0bc95508a2d8d5a914c42e15a292f8b72e1cc55d80b533de52df9d63dbfcdc39,OO-OS-SO-SS,Who was the director of Pittsburgh?,Lewis Seiler,Ken Loach,The answer is Lewis Seiler.,The answer is Ken Loach.,True,True,True,True,True
0bcb5bfb456ac0ff216d200bdd883569ac02d564b8136b301cc29b5d3fb1e4cd,OO-OS-SO-SS,Who was the screenwriter for The Road?,Joe Penhall,Anne Fontaine,The answer is Joe Penhall.,The answer is Anne Fontaine.,True,True,True,True,True
