template,source_group_id,cell,question,reference,candidate,expected_label,l_A,l_B,d_raw,p_accept_raw,predicted_label,correct
T3,0a10ac3133a9f765768b242af148337eaa1355bf976f5ec1b1904d0d49b74d69,SO,The radioactive gas radon and uv radiation are culprits in different types of what disease?,alteration,cancer,B,14.9375,9.6875,5.25,0.9947798743064417,A,False
T3,0a10ac3133a9f765768b242af148337eaa1355bf976f5ec1b1904d0d49b74d69,SS,The radioactive gas radon and uv radiation are culprits in different types of what disease?,alteration,alteration,A,16.25,4.84375,11.40625,0.9999888743925112,A,True
T3,0e5e53a12a3532a8b292e0da9c32e962c792c48de4cf14ea151217f38da9e546,OO,Purple loosestrife is a european wildflower that was introduced to which continent in the 1800's?,north america,north america,A,15.5,-6.5,22.0,0.9999999997210531,A,True
T3,0e5e53a12a3532a8b292e0da9c32e962c792c48de4cf14ea151217f38da9e546,OS,Purple loosestrife is a european wildflower that was introduced to which continent in the 1800's?,north america,intercellular,B,-4.375,16.375,-20.75,9.736200303530205e-10,B,True
T3,0e5e53a12a3532a8b292e0da9c32e962c792c48de4cf14ea151217f38da9e546,SO,Purple loosestrife is a european wildflower that was introduced to which continent in the 1800's?,intercellular,north america,B,-2.390625,14.5625,-16.953125,4.338617289960111e-08,B,True
T3,0e5e53a12a3532a8b292e0da9c32e962c792c48de4cf14ea151217f38da9e546,SS,Purple loosestrife is a european wildflower that was introduced to which continent in the 1800's?,intercellular,intercellular,A,3.84375,18.5,-14.65625,4.313912304173898e-07,B,False
T3,0e6720dd58fc316e965e53fb88c5ce64e44eec09e9871c0869bdb0d5aac8fb45,OO,Which element has the highest electronegativity value?,fluorine,fluorine,A,14.5,-6.0,20.5,0.9999999987498471,A,True
T3,0e6720dd58fc316e965e53fb88c5ce64e44eec09e9871c0869bdb0d5aac8fb45,OS,Which element has the highest electronegativity value?,fluorine,chemosynthesis,B,-5.3125,15.9375,-21.25,5.905303995456778e-10,B,True
T3,0e6720dd58fc316e965e53fb88c5ce64e44eec09e9871c0869bdb0d5aac8fb45,SO,Which element has the highest electronegativity value?,chemosynthesis,fluorine,B,0.2890625,13.75,-13.4609375,1.4255698555205716e-06,B,True
T3,0e6720dd58fc316e965e53fb88c5ce64e44eec09e9871c0869bdb0d5aac8fb45,SS,Which element has the highest electronegativity value?,chemosynthesis,chemosynthesis,A,3.75,18.125,-14.375,5.715004470337245e-07,B,False
T3,0f7d3b6b43185a49146f9aaa61004619b4a66588a563e78ee9496ebd709b0e37,OO,What is the simplest life cycle?,haploid,haploid,A,15.3125,-2.0625,17.375,0.9999999715466527,A,True
T3,0f7d3b6b43185a49146f9aaa61004619b4a66588a563e78ee9496ebd709b0e37,OS,What is the simplest life cycle?,haploid,suspension feeders,B,-5.625,15.9375,-21.5625,4.320412697441966e-10,B,True
T3,0f7d3b6b43185a49146f9aaa61004619b4a66588a563e78ee9496ebd709b0e37,SO,What is the simplest life cycle?,suspension feeders,haploid,B,-3.796875,14.3125,-18.109375,1.3652065423952196e-08,B,True
T3,0f7d3b6b43185a49146f9aaa61004619b4a66588a563e78ee9496ebd709b0e37,SS,What is the simplest life cycle?,suspension feeders,suspension feeders,A,14.625,4.09375,10.53125,0.9999733114704275,A,True
T3,10c688835407c6795fb879cb2535d55f0927bb85029e051e3aa4de6c67c47398,OO,"What planet, covered by a thick layer of clouds, looks smooth and featureless through a telescope?",venus,venus,A,15.375,-4.59375,19.96875,0.9999999978734184,A,True
T3,10c688835407c6795fb879cb2535d55f0927bb85029e051e3aa4de6c67c47398,OS,"What planet, covered by a thick layer of clouds, looks smooth and featureless through a telescope?",venus,breed,B,-4.46875,15.75,-20.21875,1.6561834607274171e-09,B,True
T3,10c688835407c6795fb879cb2535d55f0927bb85029e051e3aa4de6c67c47398,SO,"What planet, covered by a thick layer of clouds, looks smooth and featureless through a telescope?",breed,venus,B,15.3125,8.3125,7.0,0.9990889488055994,A,False
T3,10c688835407c6795fb879cb2535d55f0927bb85029e051e3aa4de6c67c47398,SS,"What planet, covered by a thick layer of clouds, looks smooth and featureless through a telescope?",breed,breed,A,7.40625,18.75,-11.34375,1.1843139025979654e-05,B,False
T3,10d1ca49154e403b4cc726dc01e324f7682258a89f9d3e5dfcb79cf6f7ae6c5c,OO,"Exotic species, also known as invasive or non-native species often cause _______ when introduced to new environments.",extinction,extinction,A,15.4375,-3.671875,19.109375,0.9999999949776857,A,True
T3,10d1ca49154e403b4cc726dc01e324f7682258a89f9d3e5dfcb79cf6f7ae6c5c,OS,"Exotic species, also known as invasive or non-native species often cause _______ when introduced to new environments.",extinction,nervous system,B,-6.5625,15.75,-22.3125,2.0408184527743938e-10,B,True
T3,10d1ca49154e403b4cc726dc01e324f7682258a89f9d3e5dfcb79cf6f7ae6c5c,SO,"Exotic species, also known as invasive or non-native species often cause _______ when introduced to new environments.",nervous system,extinction,B,3.34375,16.375,-13.03125,2.1907815825757865e-06,B,True
T3,10d1ca49154e403b4cc726dc01e324f7682258a89f9d3e5dfcb79cf6f7ae6c5c,SS,"Exotic species, also known as invasive or non-native species often cause _______ when introduced to new environments.",nervous system,nervous system,A,1.6640625,16.625,-14.9609375,3.1808798244186575e-07,B,False
T3,121e26ee9b46cb89d2b26ca75281dd4a9e3fc03bacd4c01f7791bd5ede17b716,OO,Which law predicts increasing entropy based on living systems?,thermodynamic,thermodynamic,A,14.375,-4.78125,19.15625,0.9999999952076744,A,True
T3,121e26ee9b46cb89d2b26ca75281dd4a9e3fc03bacd4c01f7791bd5ede17b716,OS,Which law predicts increasing entropy based on living systems?,thermodynamic,fracking,B,-6.1875,16.25,-22.4375,1.8010159633540775e-10,B,True
T3,121e26ee9b46cb89d2b26ca75281dd4a9e3fc03bacd4c01f7791bd5ede17b716,SO,Which law predicts increasing entropy based on living systems?,fracking,thermodynamic,B,-0.462890625,16.125,-16.587890625,6.251303840299894e-08,B,True
T3,121e26ee9b46cb89d2b26ca75281dd4a9e3fc03bacd4c01f7791bd5ede17b716,SS,Which law predicts increasing entropy based on living systems?,fracking,fracking,A,14.5,17.75,-3.25,0.03732688734412946,B,False
T3,13fcd9e40a8a4329cdef20721434615139e6b2dc95f180fe2e64a67038331f22,OO,"When you burn wood into ash or burn a marshmallow to become brown and crispy, it is impossible to undo. this change is known as what?",chemical change,chemical change,A,14.75,-6.0625,20.8125,0.9999999990853685,A,True
T3,13fcd9e40a8a4329cdef20721434615139e6b2dc95f180fe2e64a67038331f22,OS,"When you burn wood into ash or burn a marshmallow to become brown and crispy, it is impossible to undo. this change is known as what?",chemical change,the sun,B,-5.3125,15.8125,-21.125,6.691586086815049e-10,B,True
T3,13fcd9e40a8a4329cdef20721434615139e6b2dc95f180fe2e64a67038331f22,SO,"When you burn wood into ash or burn a marshmallow to become brown and crispy, it is impossible to undo. this change is known as what?",the sun,chemical change,B,10.375,16.25,-5.875,0.0028009269671209736,B,True
T3,13fcd9e40a8a4329cdef20721434615139e6b2dc95f180fe2e64a67038331f22,SS,"When you burn wood into ash or burn a marshmallow to become brown and crispy, it is impossible to undo. this change is known as what?",the sun,the sun,A,7.03125,17.75,-10.71875,2.212566909570261e-05,B,False
T3,143ba7a15fe9c68797c08230ee3931a9dfcfe6f873640ca2fd4f8623e0c2972b,OO,What is the most important element to life?,carbon,carbon,A,15.5625,-5.03125,20.59375,0.999999998861723,A,True
T3,143ba7a15fe9c68797c08230ee3931a9dfcfe6f873640ca2fd4f8623e0c2972b,OS,What is the most important element to life?,carbon,greater,B,-3.203125,15.5,-18.703125,7.539386626249303e-09,B,True
T3,143ba7a15fe9c68797c08230ee3931a9dfcfe6f873640ca2fd4f8623e0c2972b,SO,What is the most important element to life?,greater,carbon,B,-3.640625,14.9375,-18.578125,8.543244284030914e-09,B,True
T3,143ba7a15fe9c68797c08230ee3931a9dfcfe6f873640ca2fd4f8623e0c2972b,SS,What is the most important element to life?,greater,greater,A,15.6875,3.015625,12.671875,0.9999968618532465,A,True
T3,199078912aef9601d43fbb41eeeb0ec45ab7f752eb6378b83eae3b082379161c,OO,A pigment within plant cells which absorbs light is called?,chlorophyll,chlorophyll,A,15.6875,-5.53125,21.21875,0.9999999993907243,A,True
T3,199078912aef9601d43fbb41eeeb0ec45ab7f752eb6378b83eae3b082379161c,OS,A pigment within plant cells which absorbs light is called?,chlorophyll,cell membrane,B,-7.625,14.625,-22.25,2.1724399346070674e-10,B,True
T3,199078912aef9601d43fbb41eeeb0ec45ab7f752eb6378b83eae3b082379161c,SO,A pigment within plant cells which absorbs light is called?,cell membrane,chlorophyll,B,9.1875,15.1875,-6.0,0.0024726231566347743,B,True
T3,199078912aef9601d43fbb41eeeb0ec45ab7f752eb6378b83eae3b082379161c,SS,A pigment within plant cells which absorbs light is called?,cell membrane,cell membrane,A,6.1875,16.375,-10.1875,3.76364471809744e-05,B,False
T3,1a07b80e58d0120531bcefee7ba132e3bd77bef834bc592741b579d8a1952ad2,OO,What is the largest known animal?,the blue whale,the blue whale,A,15.0,-4.96875,19.96875,0.9999999978734184,A,True
T3,1a07b80e58d0120531bcefee7ba132e3bd77bef834bc592741b579d8a1952ad2,OS,What is the largest known animal?,the blue whale,replace another in a molecule,B,-5.9375,16.125,-22.0625,2.620462764055779e-10,B,True
T3,1a07b80e58d0120531bcefee7ba132e3bd77bef834bc592741b579d8a1952ad2,SO,What is the largest known animal?,replace another in a molecule,the blue whale,B,-5.0,12.6875,-17.6875,2.0816913725037723e-08,B,True
T3,1a07b80e58d0120531bcefee7ba132e3bd77bef834bc592741b579d8a1952ad2,SS,What is the largest known animal?,replace another in a molecule,replace another in a molecule,A,13.3125,-0.439453125,13.751953125,0.9999989343804498,A,True
T3,1a2ede8310b68c121c2eebd7ad1c6b47b21796df96ea64159dbc9e76f1ae27ba,OO,What is the process by which the nucleus of a eukaryotic cell divides?,mitosis,mitosis,A,14.25,-5.3125,19.5625,0.9999999968076227,A,True
T3,1a2ede8310b68c121c2eebd7ad1c6b47b21796df96ea64159dbc9e76f1ae27ba,OS,What is the process by which the nucleus of a eukaryotic cell divides?,mitosis,causation,B,-6.84375,15.4375,-22.28125,2.1056009845388588e-10,B,True
T3,1a2ede8310b68c121c2eebd7ad1c6b47b21796df96ea64159dbc9e76f1ae27ba,SO,What is the process by which the nucleus of a eukaryotic cell divides?,causation,mitosis,B,7.5,15.5,-8.0,0.0003353501304664781,B,True
T3,1a2ede8310b68c121c2eebd7ad1c6b47b21796df96ea64159dbc9e76f1ae27ba,SS,What is the process by which the nucleus of a eukaryotic cell divides?,causation,causation,A,15.8125,5.375,10.4375,0.9999706884614404,A,True
T3,1b113718103da2934eb80b31e07a36abff54f00e7334be16390372856a3b6d5c,OO,What do most of the noble gas elements have in common?,eight valence electrons,eight valence electrons,A,14.625,2.421875,12.203125,0.999994985265177,A,True
T3,1b113718103da2934eb80b31e07a36abff54f00e7334be16390372856a3b6d5c,OS,What do most of the noble gas elements have in common?,eight valence electrons,ice,B,-4.8125,14.875,-19.6875,2.81726296579986e-09,B,True
T3,1b113718103da2934eb80b31e07a36abff54f00e7334be16390372856a3b6d5c,SO,What do most of the noble gas elements have in common?,ice,eight valence electrons,B,-5.59375,13.4375,-19.03125,5.43041648377736e-09,B,True
T3,1b113718103da2934eb80b31e07a36abff54f00e7334be16390372856a3b6d5c,SS,What do most of the noble gas elements have in common?,ice,ice,A,3.5625,17.375,-13.8125,1.0030140882067352e-06,B,False
T3,1b534c132ccabe1a0e4a1e184b5e57df190c3eef651eeb6d0cce1944eb689ffd,OO,"Distinguished by the great red spot, what planet has an upper atmosphere containing ammonia clouds?",jupiter,jupiter,A,14.625,-5.3125,19.9375,0.9999999978059133,A,True
T3,1b534c132ccabe1a0e4a1e184b5e57df190c3eef651eeb6d0cce1944eb689ffd,OS,"Distinguished by the great red spot, what planet has an upper atmosphere containing ammonia clouds?",jupiter,oogenesis,B,-6.5625,15.25,-21.8125,3.3647407922810023e-10,B,True
T3,1b534c132ccabe1a0e4a1e184b5e57df190c3eef651eeb6d0cce1944eb689ffd,SO,"Distinguished by the great red spot, what planet has an upper atmosphere containing ammonia clouds?",oogenesis,jupiter,B,14.625,11.375,3.25,0.9626731126558706,A,False
T3,1b534c132ccabe1a0e4a1e184b5e57df190c3eef651eeb6d0cce1944eb689ffd,SS,"Distinguished by the great red spot, what planet has an upper atmosphere containing ammonia clouds?",oogenesis,oogenesis,A,0.494140625,15.4375,-14.943359375,3.2372880322866756e-07,B,False
T3,1be6fa12bbdbfbd851812045dffe0981b2fdc90feaecff40cbe7d533433160fb,OO,Research that focuses on understanding basic properties and processes without concern for the usefulness of this understanding is known as what kind of research?,pure research,pure research,A,13.75,-6.90625,20.65625,0.9999999989306876,A,True
T3,1be6fa12bbdbfbd851812045dffe0981b2fdc90feaecff40cbe7d533433160fb,OS,Research that focuses on understanding basic properties and processes without concern for the usefulness of this understanding is known as what kind of research?,pure research,magnetosphere,B,-5.84375,16.375,-22.21875,2.2414005807031664e-10,B,True
T3,1be6fa12bbdbfbd851812045dffe0981b2fdc90feaecff40cbe7d533433160fb,SO,Research that focuses on understanding basic properties and processes without concern for the usefulness of this understanding is known as what kind of research?,magnetosphere,pure research,B,14.9375,0.14453125,14.79296875,0.9999996237338605,A,False
T3,1be6fa12bbdbfbd851812045dffe0981b2fdc90feaecff40cbe7d533433160fb,SS,Research that focuses on understanding basic properties and processes without concern for the usefulness of this understanding is known as what kind of research?,magnetosphere,magnetosphere,A,5.3125,16.875,-11.5625,9.516251694168764e-06,B,False
T3,1beb2aa5b13171309874a37d5260ebb4e081a26981486965e2d55ecbd0e23e72,OO,What plant structures are the main avenues by which water evaporates from the sporophyte?,stomata,stomata,A,14.75,-3.984375,18.734375,0.9999999926925758,A,True
T3,1beb2aa5b13171309874a37d5260ebb4e081a26981486965e2d55ecbd0e23e72,OS,What plant structures are the main avenues by which water evaporates from the sporophyte?,stomata,flower,B,-6.46875,13.6875,-20.15625,1.7629981167074255e-09,B,True
T3,1beb2aa5b13171309874a37d5260ebb4e081a26981486965e2d55ecbd0e23e72,SO,What plant structures are the main avenues by which water evaporates from the sporophyte?,flower,stomata,B,-3.234375,14.375,-17.609375,2.2508450454116237e-08,B,True
T3,1beb2aa5b13171309874a37d5260ebb4e081a26981486965e2d55ecbd0e23e72,SS,What plant structures are the main avenues by which water evaporates from the sporophyte?,flower,flower,A,14.75,-0.65234375,15.40234375,0.9999997954276133,A,True
T3,1c35548b29d8511a72048aa2f5760aa0375a344a23b694ddc903a3c3b9d10eb8,OO,What makes the sun glow brightly?,nuclear fusion,nuclear fusion,A,14.625,-5.6875,20.3125,0.9999999984920278,A,True
T3,1c35548b29d8511a72048aa2f5760aa0375a344a23b694ddc903a3c3b9d10eb8,OS,What makes the sun glow brightly?,nuclear fusion,global warming,B,-7.25,15.5,-22.75,1.3176514268359263e-10,B,True
T3,1c35548b29d8511a72048aa2f5760aa0375a344a23b694ddc903a3c3b9d10eb8,SO,What makes the sun glow brightly?,global warming,nuclear fusion,B,-2.5625,14.75,-17.3125,3.0288430461900305e-08,B,True
T3,1c35548b29d8511a72048aa2f5760aa0375a344a23b694ddc903a3c3b9d10eb8,SS,What makes the sun glow brightly?,global warming,global warming,A,13.125,16.375,-3.25,0.03732688734412946,B,False
T3,1e775ec427e192a7277498b2b5f22a189e2fd5e4a7ebe9a5d7ceb04d0edb4bea,OO,What makes nobel gases unreactive?,its electon configuration,its electon configuration,A,13.4375,-3.296875,16.734375,0.999999946005036,A,True
T3,1e775ec427e192a7277498b2b5f22a189e2fd5e4a7ebe9a5d7ceb04d0edb4bea,OS,What makes nobel gases unreactive?,its electon configuration,connective tissue,B,-6.125,15.6875,-21.8125,3.3647407922810023e-10,B,True
T3,1e775ec427e192a7277498b2b5f22a189e2fd5e4a7ebe9a5d7ceb04d0edb4bea,SO,What makes nobel gases unreactive?,connective tissue,its electon configuration,B,-4.46875,13.875,-18.34375,1.0799672678739144e-08,B,True
T3,1e775ec427e192a7277498b2b5f22a189e2fd5e4a7ebe9a5d7ceb04d0edb4bea,SS,What makes nobel gases unreactive?,connective tissue,connective tissue,A,4.53125,16.75,-12.21875,4.936988949458183e-06,B,False
T3,20ca76d8e4f85568513476a52df419d075d3dd5fc5ccecf57f95ac7dd8fc87e6,OO,Epithelial cells are found in what body organ?,skin,skin,A,14.875,-5.53125,20.40625,0.9999999986269756,A,True
T3,20ca76d8e4f85568513476a52df419d075d3dd5fc5ccecf57f95ac7dd8fc87e6,OS,Epithelial cells are found in what body organ?,skin,entropy,B,-4.09375,17.625,-21.71875,3.6954448130275963e-10,B,True
T3,20ca76d8e4f85568513476a52df419d075d3dd5fc5ccecf57f95ac7dd8fc87e6,SO,Epithelial cells are found in what body organ?,entropy,skin,B,-4.59375,14.0625,-18.65625,7.901209342174968e-09,B,True
T3,20ca76d8e4f85568513476a52df419d075d3dd5fc5ccecf57f95ac7dd8fc87e6,SS,Epithelial cells are found in what body organ?,entropy,entropy,A,16.125,12.3125,3.8125,0.9783846672373524,A,True
T3,21b042f63c92b50654186c8fe4187eace9b61ae49c15626476e5b27ce23675bb,OO,"Protozoa that cause malaria are spread by a vector, entering the blood through the bite of what insect?",mosquito,mosquito,A,15.5625,-5.4375,21.0,0.9999999992417439,A,True
T3,21b042f63c92b50654186c8fe4187eace9b61ae49c15626476e5b27ce23675bb,OS,"Protozoa that cause malaria are spread by a vector, entering the blood through the bite of what insect?",mosquito,carbon dioxide,B,-7.71875,13.75,-21.46875,4.745045065396272e-10,B,True
T3,21b042f63c92b50654186c8fe4187eace9b61ae49c15626476e5b27ce23675bb,SO,"Protozoa that cause malaria are spread by a vector, entering the blood through the bite of what insect?",carbon dioxide,mosquito,B,4.1875,14.8125,-10.625,2.43002407432796e-05,B,True
T3,21b042f63c92b50654186c8fe4187eace9b61ae49c15626476e5b27ce23675bb,SS,"Protozoa that cause malaria are spread by a vector, entering the blood through the bite of what insect?",carbon dioxide,carbon dioxide,A,4.28125,16.875,-12.59375,3.393144812976612e-06,B,False
T3,21e85b4efb563c2c7d719cd82eed25f1248ca7f7c8365f703644ce3dc4ad3f31,OO,Bacteria and archaea that survive under extreme conditions are called?,extremophiles,extremophiles,A,15.3125,-4.3125,19.625,0.9999999970010391,A,True
T3,21e85b4efb563c2c7d719cd82eed25f1248ca7f7c8365f703644ce3dc4ad3f31,OS,Bacteria and archaea that survive under extreme conditions are called?,extremophiles,size and direction,B,-5.3125,16.0,-21.3125,5.54751971341519e-10,B,True
T3,21e85b4efb563c2c7d719cd82eed25f1248ca7f7c8365f703644ce3dc4ad3f31,SO,Bacteria and archaea that survive under extreme conditions are called?,size and direction,extremophiles,B,5.3125,17.0,-11.6875,8.39807203495153e-06,B,True
T3,21e85b4efb563c2c7d719cd82eed25f1248ca7f7c8365f703644ce3dc4ad3f31,SS,Bacteria and archaea that survive under extreme conditions are called?,size and direction,size and direction,A,9.625,16.125,-6.5,0.0015011822567369917,B,False
T3,230f4886e25e9c27f1c5aeb6202ef50688d4072ec21a5516491ea31cdf4274d7,OO,Amorphous selenium is a photosensitive what?,semiconductor,semiconductor,A,14.75,-6.5,21.25,0.9999999994094697,A,True
T3,230f4886e25e9c27f1c5aeb6202ef50688d4072ec21a5516491ea31cdf4274d7,OS,Amorphous selenium is a photosensitive what?,semiconductor,mammary,B,-5.46875,15.4375,-20.90625,8.327813436526548e-10,B,True
T3,230f4886e25e9c27f1c5aeb6202ef50688d4072ec21a5516491ea31cdf4274d7,SO,Amorphous selenium is a photosensitive what?,mammary,semiconductor,B,9.75,14.875,-5.125,0.005911068856243796,B,True
T3,230f4886e25e9c27f1c5aeb6202ef50688d4072ec21a5516491ea31cdf4274d7,SS,Amorphous selenium is a photosensitive what?,mammary,mammary,A,9.9375,16.625,-6.6875,0.0012448433020883745,B,False
T3,23b2da192ff61c4753bc05910769816eed0a3667db2a4b773622bce58081ef84,OO,What is the mode of breathing that occurs at rest and does not require the cognitive thought of the individual?,quiet breathing,quiet breathing,A,15.125,-5.5,20.625,0.9999999988967441,A,True
T3,23b2da192ff61c4753bc05910769816eed0a3667db2a4b773622bce58081ef84,OS,What is the mode of breathing that occurs at rest and does not require the cognitive thought of the individual?,quiet breathing,causes pollution,B,-5.0625,16.75,-21.8125,3.3647407922810023e-10,B,True
T3,23b2da192ff61c4753bc05910769816eed0a3667db2a4b773622bce58081ef84,SO,What is the mode of breathing that occurs at rest and does not require the cognitive thought of the individual?,causes pollution,quiet breathing,B,7.5,16.25,-8.75,0.00015843621910252592,B,True
T3,23b2da192ff61c4753bc05910769816eed0a3667db2a4b773622bce58081ef84,SS,What is the mode of breathing that occurs at rest and does not require the cognitive thought of the individual?,causes pollution,causes pollution,A,8.875,16.75,-7.875,0.0003799845147518645,B,False
T3,24b91442961df4239a123354c44e53dab4a44f7cff6e66fec314c22e1b1540ea,OO,What are the outer planets of the solar system made of?,gases,gases,A,14.875,-5.65625,20.53125,0.9999999987883104,A,True
T3,24b91442961df4239a123354c44e53dab4a44f7cff6e66fec314c22e1b1540ea,OS,What are the outer planets of the solar system made of?,gases,cancer,B,-3.8125,15.75,-19.5625,3.192377170381065e-09,B,True
T3,24b91442961df4239a123354c44e53dab4a44f7cff6e66fec314c22e1b1540ea,SO,What are the outer planets of the solar system made of?,cancer,gases,B,-2.578125,14.3125,-16.890625,4.618434051604605e-08,B,True
T3,24b91442961df4239a123354c44e53dab4a44f7cff6e66fec314c22e1b1540ea,SS,What are the outer planets of the solar system made of?,cancer,cancer,A,17.0,10.9375,6.0625,0.9976768374773688,A,True
T3,273e7a2bbe79fb45e3da5b01c63233ca2a0293e88be678371d45e6e734eb3687,OO,"In the primary response to infection, what are secreted first from plasma cells?",antibodies,antibodies,A,15.375,-4.375,19.75,0.9999999973534264,A,True
T3,273e7a2bbe79fb45e3da5b01c63233ca2a0293e88be678371d45e6e734eb3687,OS,"In the primary response to infection, what are secreted first from plasma cells?",antibodies,medium,B,-6.0,14.0625,-20.0625,1.9362746336349366e-09,B,True
T3,273e7a2bbe79fb45e3da5b01c63233ca2a0293e88be678371d45e6e734eb3687,SO,"In the primary response to infection, what are secreted first from plasma cells?",medium,antibodies,B,-3.828125,13.5,-17.328125,2.981885188622922e-08,B,True
T3,273e7a2bbe79fb45e3da5b01c63233ca2a0293e88be678371d45e6e734eb3687,SS,"In the primary response to infection, what are secreted first from plasma cells?",medium,medium,A,15.25,1.78125,13.46875,0.9999985855240013,A,True
T3,2a20d544ff618b9501d9400c452e6e02e2e866fa2d6a08fb345c2ffb4f633edb,OO,What is the three-dimensional structure of a single polypeptide called?,tertiary structure,tertiary structure,A,14.875,-4.875,19.75,0.9999999973534264,A,True
T3,2a20d544ff618b9501d9400c452e6e02e2e866fa2d6a08fb345c2ffb4f633edb,OS,What is the three-dimensional structure of a single polypeptide called?,tertiary structure,electron affinity,B,-6.21875,15.3125,-21.53125,4.4575573182000303e-10,B,True
T3,2a20d544ff618b9501d9400c452e6e02e2e866fa2d6a08fb345c2ffb4f633edb,SO,What is the three-dimensional structure of a single polypeptide called?,electron affinity,tertiary structure,B,1.71875,15.5625,-13.84375,9.721546189381598e-07,B,True
T3,2a20d544ff618b9501d9400c452e6e02e2e866fa2d6a08fb345c2ffb4f633edb,SS,What is the three-dimensional structure of a single polypeptide called?,electron affinity,electron affinity,A,2.171875,17.125,-14.953125,3.2058277660857193e-07,B,False
T3,2b8a5200282c3f8748e7a842c78898590dde7c3432e54daf87ca95ce25b4c54e,OO,What phase is pure chlorine present as?,gas,gas,A,14.9375,-5.125,20.0625,0.9999999980637253,A,True
T3,2b8a5200282c3f8748e7a842c78898590dde7c3432e54daf87ca95ce25b4c54e,OS,What phase is pure chlorine present as?,gas,hydrolysis,B,-5.875,15.5625,-21.4375,4.895668964435012e-10,B,True
T3,2b8a5200282c3f8748e7a842c78898590dde7c3432e54daf87ca95ce25b4c54e,SO,What phase is pure chlorine present as?,hydrolysis,gas,B,2.6875,15.125,-12.4375,3.966985914946731e-06,B,True
T3,2b8a5200282c3f8748e7a842c78898590dde7c3432e54daf87ca95ce25b4c54e,SS,What phase is pure chlorine present as?,hydrolysis,hydrolysis,A,15.0,6.46875,8.53125,0.9998028305780378,A,True
T3,2dc8c8368d496987fff43c67a7613468467b611e116687d0980c83a39cd910aa,OO,What is the term for sediment deposited by a glacier?,moraine,moraine,A,14.6875,-4.875,19.5625,0.9999999968076227,A,True
T3,2dc8c8368d496987fff43c67a7613468467b611e116687d0980c83a39cd910aa,OS,What is the term for sediment deposited by a glacier?,moraine,salivation,B,-6.3125,15.3125,-21.625,4.058652124828427e-10,B,True
T3,2dc8c8368d496987fff43c67a7613468467b611e116687d0980c83a39cd910aa,SO,What is the term for sediment deposited by a glacier?,salivation,moraine,B,-4.65625,14.3125,-18.96875,5.780648254572639e-09,B,True
T3,2dc8c8368d496987fff43c67a7613468467b611e116687d0980c83a39cd910aa,SS,What is the term for sediment deposited by a glacier?,salivation,salivation,A,15.125,-0.1103515625,15.2353515625,0.999999758247607,A,True
T3,2f4703494c2a9ce69c4a05d3a0f85a95e69e0b7a1564dc0cfba14f55769487d6,OO,What is the term for the interaction of waves with other waves?,wave interference,wave interference,A,14.3125,-5.46875,19.78125,0.9999999974348528,A,True
