question,r_o,r_s,c_o,c_s
Earthquakes occur most often at which natural feature?,plate boundaries,fatty acids,The answer is plate boundaries.,The answer is fatty acids.
"What is the fusing of two or more smaller nuclei to form a single, larger nucleus?",nuclear fusion,raises it,The answer is nuclear fusion.,The answer is raises it.
What is defined as the change in the size of the population over time?,population growth,carbon dioxide,The answer is population growth.,The answer is carbon dioxide.
"Molecules that are in continuous motion, travelling in straight lines and changing comprise what state of matter?",gases,bond energy,The answer is gases.,The answer is bond energy.
What is the term for the transfer of heat by a current?,convection,radioactive,The answer is convection.,The answer is radioactive.
The binary halides are an important subclass of what?,salts,prokaryotes,The answer is salts.,The answer is prokaryotes.
What single word can be defined as the ability to cause change in matter and the ability to do work?,energy,the lungs,The answer is energy.,The answer is the lungs.
"Reduction often involves the gain of hydrogen, the loss of oxygen, or the gain of what?",electrons,long-chain fatty acids,The answer is electrons.,The answer is long-chain fatty acids.
What is the principal blood vessel through which blood leaves the heart in order to circulate around the body?,aorta,viruses,The answer is aorta.,The answer is viruses.
Reactants are substances that start what?,chemical reaction,excitatory,The answer is chemical reaction.,The answer is excitatory.
Fungi are now classified as their own kingdom. what kingdom were they previously a part of?,plants,arterial,The answer is plants.,The answer is arterial.
Which construction material previously used in factories and in homes caused cancer?,asbestos,medium,The answer is asbestos.,The answer is medium.
"Part of the fossil record, stromatolites belong to what rock group and are formed when minerals are precipitated out of water by prokaryotes in a microbial mat?",sedimentary,different plants,The answer is sedimentary.,The answer is different plants.
Much of the damage from hurricanes may be caused by?,storm surge,suspension,The answer is storm surge.,The answer is suspension.
"Which joint allows humans to sit, stand, and pivot?",knee,atmospheric,The answer is knee.,The answer is atmospheric.
Organic acids such as acetic acid all contain a functional group called what?,carboxyl group,fluorine,The answer is carboxyl group.,The answer is fluorine.
What is the visible surface of the sun called?,photosphere,movement,The answer is photosphere.,The answer is movement.
Which type of energy holds atoms together?,bond energy,metamorphosis,The answer is bond energy.,The answer is metamorphosis.
What are the simplest type of carbon-based compounds?,hydrocarbons,function,The answer is hydrocarbons.,The answer is function.
"Vertebrates - including fish, amphibians, reptiles, birds, and mammals - belong to what phylum?",chordata,surface tension,The answer is chordata.,The answer is surface tension.
What is another term for seed plants?,spermatophytes,electromagnet,The answer is spermatophytes.,The answer is electromagnet.
"By maintaining a relatively constant internal environment even when the external environment changes significantly, an animal achieves what?",homeostasis,one,The answer is homeostasis.,The answer is one.
What is the main element in organic compounds?,carbon,interiors of stars,The answer is carbon.,The answer is interiors of stars.
A balanced equation has an equal number of what on each side?,protons and neutrons,predators,The answer is protons and neutrons.,The answer is predators.
A phase diagram plots pressure and what else?,temperature,rocks,The answer is temperature.,The answer is rocks.
"What ""color"" (that is actually not a color at all) is associated with the absence of light?",black,centrosomes,The answer is black.,The answer is centrosomes.
"When the rate of condensation becomes equal to the rate of vaporization, the vapor in the container is then said to be in what with the liquid?",equilibrium,reactions,The answer is equilibrium.,The answer is reactions.
"Gametogenesis, the production of sperm and eggs, takes place through the process of this?",meiosis,electrons,The answer is meiosis.,The answer is electrons.
"What kind of model - which includes producers, consumers and decomposers - shows the interactions between organisms across trophic levels?",food web,atomic energy levels,The answer is food web.,The answer is atomic energy levels.
"What reaction, along with photosynthesis, provides energy to the vast majority of living things?",cellular respiration,circulatory system,The answer is cellular respiration.,The answer is circulatory system.
Where is the seafloor youngest?,mid-ocean,mosses,The answer is mid-ocean.,The answer is mosses.
The nitrogenous bases found in nucleotides are classified as pyrimidines or what?,purines,electromagnet,The answer is purines.,The answer is electromagnet.
"Keratin is an intracellular fibrous protein that gives hair, nails, and skin their hardness and this?",water-resistant properties,prime meridian,The answer is water-resistant properties.,The answer is prime meridian.
"Instead of insects, crustaceans are the dominant arthropods in what environment?",marine habitat,microvilli,The answer is marine habitat.,The answer is microvilli.
What is the process in which cells make proteins called?,synthesis,chordates,The answer is synthesis.,The answer is chordates.
What is the name of the extra layer that prokaryotes have outside the cell wall?,a capsule,form follows function,The answer is a capsule.,The answer is form follows function.
Burning fossil fuels releases what into the atmosphere?,carbon dioxide,negative,The answer is carbon dioxide.,The answer is negative.
What is the only animal group that evolved to live on land and then back to live in the ocean?,mammals,plant,The answer is mammals.,The answer is plant.
"All of the chemical reactions that take place inside cells, including those that consume or generate energy, are referred to as what?",cell ' s metabolism,chlorophyll,The answer is cell ' s metabolism.,The answer is chlorophyll.
"Collision frequency is greater for what category of catalysts, which also tend to be more sensitive to temperature and more 'expensive'?",homogeneous,exponential growth,The answer is homogeneous.,The answer is exponential growth.
"Enzymes, antibodies, and muscle fiber are all types of what?",proteins,gases,The answer is proteins.,The answer is gases.
What is the smallest particle of an element that still has the properties of that element?,atom,translucent matter,The answer is atom.,The answer is translucent matter.
Protons and neutrons are located in which central part of the atom?,nucleus,carbohydrates,The answer is nucleus.,The answer is carbohydrates.
Water is composed of which two elements?,hydrogen and oxygen,lipid-soluble hormones,The answer is hydrogen and oxygen.,The answer is lipid-soluble hormones.
The diploid sporophyte produces haploid spores by what process?,meiosis,stars,The answer is meiosis.,The answer is stars.
"What is the sticky, moist substance that covers mucous membranes called?",mucus,food allergies,The answer is mucus.,The answer is food allergies.
At what temperatures do crystals formed by covalent molecular solids melt at?,low,decreases,The answer is low.,The answer is decreases.
Plants take in carbon dioxide and give off what?,oxygen,melanin,The answer is oxygen.,The answer is melanin.
"When gasoline is burned, what pollutant is produced?",carbon dioxide,mechanical digestion,The answer is carbon dioxide.,The answer is mechanical digestion.
What is the most common form of ocean life?,plankton,baryons,The answer is plankton.,The answer is baryons.
The process by which creatures regulate body temperature from the outside through behavioral changes is known as what?,ectothermy,nonvascular,The answer is ectothermy.,The answer is nonvascular.
"8each cell-surface receptor has three main components: an external ligand-binding domain, a hydrophobic membrane spanning region, and a(n) what domain inside the cell?",intracellular,downregulation,The answer is intracellular.,The answer is downregulation.
What stimulates milk production in mammals?,prolactin,phase transition,The answer is prolactin.,The answer is phase transition.
What do humans use to make observations?,senses,electrons,The answer is senses.,The answer is electrons.
"Two plates may slide past each other in opposite directions, this is called what?",transform plate boundary,galactic center,The answer is transform plate boundary.,The answer is galactic center.
"The insect reaches full size, acquires wings, and becomes sexually mature after what final stage?",molt,plate boundaries,The answer is molt.,The answer is plate boundaries.
Wind or water that travels toward the poles from the equator curves in which direction?,east,the nucleolus,The answer is east.,The answer is the nucleolus.
What part of the cell holds cell organelles in place within the cytoplasm?,cytoskeleton,mammals,The answer is cytoskeleton.,The answer is mammals.
"During unfavorable conditions, mature seeds may enter a period of inactivity or extremely low metabolic activity called what?",dormancy,alkyl halide,The answer is dormancy.,The answer is alkyl halide.
What do you call the angle at which waves strike a wall?,angle of incidence,bacteria,The answer is angle of incidence.,The answer is bacteria.
What organisms have a life cycle that includes alternation of generations?,plants,termination,The answer is plants.,The answer is termination.
Each f atom has one bonding pair and three lone pairs of what?,electrons,sexually,The answer is electrons.,The answer is sexually.
"Over time, heavy metals build up in the tissues of organisms by what process?",bioaccumulation,density,The answer is bioaccumulation.,The answer is density.
The recombination frequency is the percentage of recombinant flies in the total pool of what?,offspring,pollutants,The answer is offspring.,The answer is pollutants.
Insects are the only invertebrates that can do what?,fly,viruses,The answer is fly.,The answer is viruses.
What is the process by which plants and animals increase in size?,growth,joints,The answer is growth.,The answer is joints.
Water waves act as a mix of longitudinal and what other kind of wave?,transverse wave,conducting electricity,The answer is transverse wave.,The answer is conducting electricity.
"Animals that eat decomposing organic material, such as dung beetles, make the material available to what organisms that break it down further?",bacteria,sea animals,The answer is bacteria.,The answer is sea animals.
Sweating and panting are methods mammals use for what purpose?,staying cool,vesicle coats,The answer is staying cool.,The answer is vesicle coats.
What do we call people who are trained to make specific dietary recommendations to address particular issues relating to health?,dietitians,rrna and proteins,The answer is dietitians.,The answer is rrna and proteins.
"Typically, what feature of an angiosperm has four main parts known as the calyx, corolla, androecium, and gynoecium?",flower,raise sea levels,The answer is flower.,The answer is raise sea levels.
What kind of waves are sound waves?,mechanical,electrons,The answer is mechanical.,The answer is electrons.
"What organ has four major regions: the cerebrum, the diencephalon, the stem, and the cerebellum?",brain,tidal volume,The answer is brain.,The answer is tidal volume.
Hot magma beneath the surface mixes with water and forms what?,gas,carbon dioxide,The answer is gas.,The answer is carbon dioxide.
Which trait of particles causes even cold objects to have some thermal energy?,constant random motion,black,The answer is constant random motion.,The answer is black.
What type of response is generated when a stimulus is received by the nervous system?,a motor response,head,The answer is a motor response.,The answer is head.
Where does waste enter the large intestine from?,the small intestine,dehydration synthesis reaction,The answer is the small intestine.,The answer is dehydration synthesis reaction.
